측정일자,측정소명,미세먼지(㎍/㎥)
20200126,중랑구,23
20200126,동대문구,26
20200126,성북구,27
20200126,도봉구,22
20200126,강북구,26
20200126,노원구,24
20200126,강서구,42
20200126,구로구,29
20200126,영등포구,32
20200126,동작구,37
20200126,관악구,33
20200126,금천구,33
20200126,양천구,41
20200126,강남구,25
20200126,서초구,31
20200126,송파구,26
20200126,강동구,28
20200127,중구,10
20200127,종로구,11
20200127,용산구,10
20200127,은평구,8
20200127,서대문구,7
20200127,마포구,11
20200127,광진구,10
20200127,성동구,11
20200127,중랑구,11
20200127,동대문구,11
20200127,성북구,14
20200127,도봉구,6
20200127,강북구,13
20200127,노원구,8
20200127,강서구,10
20200127,구로구,8
20200127,영등포구,12
20200127,동작구,14
20200127,관악구,13
20200127,금천구,12
20200127,양천구,13
20200127,강남구,11
20200127,서초구,8
20200127,송파구,12
20200127,강동구,12
20200128,중구,12
20200128,종로구,13
20200128,용산구,12
20200128,은평구,10
20200128,서대문구,9
20200128,마포구,13
20200128,광진구,10
20200128,성동구,13
20200128,중랑구,15
20200128,동대문구,12
20200128,성북구,15
20200128,도봉구,9
20200128,강북구,15
20200128,노원구,9
20200128,강서구,14
20200128,구로구,11
20200128,영등포구,16
20200128,동작구,15
20200128,관악구,14
20200128,금천구,13
20200128,양천구,16
20200128,강남구,12
20200128,서초구,11
20200128,송파구,13
20200128,강동구,13
20200129,중구,15
20200129,종로구,17
20200129,용산구,16
20200129,은평구,14
20200129,서대문구,14
20200129,마포구,19
20200129,광진구,15
20200129,성동구,18
20200129,중랑구,17
20200129,동대문구,17
20200129,성북구,18
20200129,도봉구,13
20200129,강북구,18
20200129,노원구,15
20200129,강서구,22
20200129,구로구,16
20200129,영등포구,21
20200129,동작구,21
20200129,관악구,18
20200129,금천구,17
20200129,양천구,22
20200129,강남구,18
20200129,서초구,15
20200129,송파구,19
20200129,강동구,17
20200130,중구,15
20200130,종로구,18
20200130,용산구,17
20200130,은평구,15
20200130,서대문구,15
20200130,마포구,20
20200130,광진구,14
20200130,성동구,18
20200130,중랑구,17
20200130,동대문구,17
20200130,성북구,21
20200130,도봉구,13
20200130,강북구,18
20200130,노원구,16
20200130,강서구,27
20200130,구로구,16
20200130,영등포구,21
20200130,동작구,22
20200130,관악구,19
20200130,금천구,20
20200130,양천구,23
20200130,강남구,18
20200130,서초구,17
20200130,송파구,19
20200130,강동구,19
20200131,중구,25
20200131,종로구,25
20200131,용산구,27
20200131,은평구,30
20200131,서대문구,28
20200131,마포구,28
20200131,광진구,26
20200131,성동구,25
20200131,중랑구,25
20200131,동대문구,24
20200131,성북구,29
20200131,도봉구,22
20200131,강북구,31
20200131,노원구,22
20200131,강서구,42
20200131,구로구,26
20200131,영등포구,30
20200131,동작구,33
20200131,관악구,31
20200131,금천구,33
20200131,양천구,38
20200131,강남구,25
20200131,서초구,28
20200131,송파구,26
20200131,강동구,29
20200201,중구,64
20200201,종로구,68
20200201,용산구,62
20200201,은평구,67
20200201,서대문구,69
20200201,마포구,61
20200201,광진구,69
20200201,성동구,63
20200201,중랑구,67
20200201,동대문구,63
20200201,성북구,67
20200201,도봉구,65
20200201,강북구,78
20200201,노원구,64
20200201,강서구,75
20200201,구로구,63
20200201,영등포구,63
20200201,동작구,75
20200201,관악구,66
20200201,금천구,70
20200201,양천구,73
20200201,강남구,62
20200201,서초구,73
20200201,송파구,66
20200201,강동구,77
20200202,중구,71
20200202,종로구,74
20200202,용산구,71
20200202,은평구,69
20200202,서대문구,70
20200202,마포구,67
20200202,광진구,70
20200202,성동구,70
20200202,중랑구,76
20200202,동대문구,71
20200202,성북구,67
20200202,도봉구,68
20200202,강북구,78
20200202,노원구,69
20200202,강서구,86
20200202,구로구,61
20200202,영등포구,64
20200202,동작구,80
20200202,관악구,67
20200202,금천구,69
20200202,양천구,80
20200202,강남구,67
20200202,서초구,75
20200202,송파구,66
20200202,강동구,87
20200203,중구,24
20200203,종로구,26
20200203,용산구,26
20200203,은평구,25
20200203,서대문구,24
20200203,마포구,23
20200203,광진구,25
20200203,성동구,26
20200203,중랑구,24
20200203,동대문구,23
20200203,성북구,31
20200203,도봉구,20
20200203,강북구,29
20200203,노원구,22
20200203,강서구,28
20200203,구로구,21
20200203,영등포구,25
20200203,동작구,32
20200203,관악구,27
20200203,금천구,27
20200203,양천구,31
20200203,강남구,24
20200203,서초구,23
20200203,송파구,28
20200203,강동구,28
20200204,중구,23
20200204,종로구,25
20200204,용산구,24
20200204,은평구,22
20200204,서대문구,23
20200204,마포구,22
20200204,광진구,26
20200204,성동구,23
20200204,중랑구,25
20200204,동대문구,23
20200204,성북구,26
20200204,도봉구,22
20200204,강북구,28
20200204,노원구,22
20200204,강서구,27
20200204,구로구,19
20200204,영등포구,23
20200204,동작구,30
20200204,관악구,25
20200204,금천구,25
20200204,양천구,28
20200204,강남구,24
20200204,서초구,24
20200204,송파구,25
20200204,강동구,31
20200205,중구,21
20200205,종로구,23
20200205,용산구,23
20200205,은평구,23
20200205,서대문구,24
20200205,마포구,19
20200205,광진구,22
20200205,성동구,22
20200205,중랑구,21
20200205,동대문구,19
20200205,성북구,22
20200205,도봉구,19
20200205,강북구,26
20200205,노원구,18
20200205,강서구,23
20200205,구로구,16
20200205,영등포구,20
20200205,동작구,27
20200205,관악구,21
20200205,금천구,22
20200205,양천구,26
20200205,강남구,21
20200205,서초구,24
20200205,송파구,23
20200205,강동구,23
20200206,중구,38
20200206,종로구,37
20200206,용산구,37
20200206,은평구,39
20200206,서대문구,38
20200206,마포구,35
20200206,광진구,39
20200206,성동구,36
20200206,중랑구,38
20200206,동대문구,33
20200206,성북구,37
20200206,도봉구,35
20200206,강북구,44
20200206,노원구,31
20200206,강서구,45
20200206,구로구,35
20200206,영등포구,35
20200206,동작구,47
20200206,관악구,38
20200206,금천구,41
20200206,양천구,47
20200206,강남구,35
20200206,서초구,46
20200206,송파구,38
20200206,강동구,45
20200207,중구,34
20200207,종로구,35
20200207,용산구,37
20200207,은평구,34
20200207,서대문구,35
20200207,마포구,36
20200207,광진구,38
20200207,성동구,37
20200207,중랑구,38
20200207,동대문구,31
20200207,성북구,36
20200207,도봉구,33
20200207,강북구,42
20200207,노원구,34
20200207,강서구,44
20200207,구로구,30
20200207,영등포구,36
20200207,동작구,45
20200207,관악구,36
20200207,금천구,38
20200207,양천구,44
20200207,강남구,33
20200207,서초구,41
20200207,송파구,37
20200207,강동구,44
20200208,중구,39
20200208,종로구,42
20200208,용산구,42
20200208,은평구,41
20200208,서대문구,40
20200208,마포구,39
20200208,광진구,39
20200208,성동구,42
20200208,중랑구,39
20200208,동대문구,37
20200208,성북구,39
20200208,도봉구,35
20200208,강북구,46
20200208,노원구,36
20200208,강서구,48
20200208,구로구,37
20200208,영등포구,39
20200208,동작구,49
20200208,관악구,41
20200208,금천구,42
20200208,양천구,48
20200208,강남구,38
20200208,서초구,42
20200208,송파구,42
20200208,강동구,44
20200209,중구,34
20200209,종로구,37
20200209,용산구,35
20200209,은평구,32
20200209,서대문구,34
20200209,마포구,32
20200209,광진구,36
20200209,성동구,36
20200209,중랑구,38
20200209,동대문구,34
20200209,성북구,34
20200209,도봉구,33
20200209,강북구,43
20200209,노원구,34
20200209,강서구,38
20200209,구로구,30
20200209,영등포구,32
20200209,동작구,42
20200209,관악구,37
20200209,금천구,39
20200209,양천구,39
20200209,강남구,33
20200209,서초구,37
20200209,송파구,35
20200209,강동구,43
20200210,중구,42
20200210,종로구,50
20200210,용산구,42
20200210,은평구,44
20200210,서대문구,49
20200210,마포구,43
20200210,광진구,50
20200210,성동구,47
20200210,중랑구,49
20200210,동대문구,46
20200210,성북구,50
20200210,도봉구,48
20200210,강북구,52
20200210,노원구,42
20200210,강서구,53
20200210,구로구,45
20200210,영등포구,43
20200210,동작구,53
20200210,관악구,48
20200210,금천구,47
20200210,양천구,53
20200210,강남구,45
20200210,서초구,52
20200210,송파구,49
20200210,강동구,54
20200211,중구,53
20200211,종로구,55
20200211,용산구,56
20200211,은평구,49
20200211,서대문구,54
20200211,마포구,52
20200211,광진구,57
20200211,성동구,54
20200211,중랑구,54
20200211,동대문구,51
20200211,성북구,55
20200211,도봉구,52
20200211,강북구,59
20200211,노원구,46
20200211,강서구,68
20200211,구로구,53
20200211,영등포구,55
20200211,동작구,65
20200211,관악구,59
20200211,금천구,52
20200211,양천구,63
20200211,강남구,53
20200211,서초구,64
20200211,송파구,57
20200211,강동구,61
20200212,중구,51
20200212,종로구,49
20200212,용산구,42
20200212,은평구,38
20200212,서대문구,39
20200212,마포구,42
20200212,광진구,48
20200212,성동구,49
20200212,중랑구,48
20200212,동대문구,50
20200212,성북구,47
20200212,도봉구,46
20200212,강북구,47
20200212,노원구,48
20200212,강서구,58
20200212,구로구,50
20200212,영등포구,49
20200212,동작구,58
20200212,관악구,48
20200212,금천구,43
20200212,양천구,56
20200212,강남구,46
20200212,서초구,59
20200212,송파구,48
20200212,강동구,53
20200213,중구,76
20200213,종로구,76
20200213,용산구,68
20200213,은평구,70
20200213,서대문구,73
20200213,마포구,65
20200213,광진구,72
20200213,성동구,71
20200213,중랑구,73
20200213,동대문구,69
20200213,성북구,67
20200213,도봉구,61
20200213,강북구,68
20200213,노원구,56
20200213,강서구,80
20200213,구로구,73
20200213,영등포구,65
20200213,동작구,78
20200213,관악구,69
20200213,금천구,65
20200213,양천구,77
20200213,강남구,66
20200213,서초구,84
20200213,송파구,63
20200213,강동구,77
20200214,중구,80
20200214,종로구,86
20200214,용산구,72
20200214,은평구,75
20200214,서대문구,79
20200214,마포구,67
20200214,광진구,81
20200214,성동구,82
20200214,중랑구,80
20200214,동대문구,83
20200214,성북구,81
20200214,도봉구,75
20200214,강북구,93
20200214,노원구,76
20200214,강서구,84
20200214,구로구,85
20200214,영등포구,71
20200214,동작구,91
20200214,관악구,81
20200214,금천구,83
20200214,양천구,82
20200214,강남구,77
20200214,서초구,96
20200214,송파구,78
20200214,강동구,88
20200215,중구,64
20200215,종로구,65
20200215,용산구,61
20200215,은평구,62
20200215,서대문구,58
20200215,마포구,59
