광역시도명,시군구명,날짜,시간대별 시간,강수 유형명,습도값,강수량 값,기온값,풍속값,바람강도 유형명,동쪽서쪽바람유형명,풍향값,풍향카테고리명,한식,분식,카페/디저트,돈까스/일식,회,치킨,피자,아시안/양식,중식,족발/보쌈,야식,찜탕,도시락,패스트푸드
서울특별시,은평구,2020-01-01,13,없음,70,0,-0.3,1.4,약,east,43,NE,5,8,0,0,1,0,0,2,0,3,0,0,0,1
서울특별시,은평구,2020-01-01,14,없음,70,0,-0.4,1.3,약,east,44,NE,3,7,1,2,2,6,0,0,0,2,0,1,0,1
서울특별시,은평구,2020-01-01,15,없음,70,0,-0.5,0.8,약,east,108,ESE,6,13,4,0,0,2,0,1,0,2,0,0,0,1
서울특별시,은평구,2020-01-01,16,없음,69,0,-0.5,1.5,약,east,53,NE,3,6,0,0,9,13,0,1,0,3,0,2,0,3
서울특별시,은평구,2020-01-01,17,없음,69,0,-0.5,0.8,약,east,64,ENE,3,6,2,2,6,18,0,5,0,15,0,0,0,2
서울특별시,은평구,2020-01-01,18,없음,69,0,-0.4,1.2,약,east,54,NE,5,9,1,4,8,42,0,2,0,19,0,2,0,4
서울특별시,은평구,2020-01-01,19,없음,66,0,-0.5,0.4,약,east,102,ESE,3,12,3,1,10,14,0,2,0,14,0,0,0,4
서울특별시,은평구,2020-01-01,20,없음,64,0,-0.2,1.1,약,east,42,NE,3,1,1,1,12,13,0,2,0,6,0,1,0,4
서울특별시,은평구,2020-01-01,21,없음,63,0,-0.3,0.8,약,east,86,E,1,0,0,1,4,19,0,0,0,5,0,0,0,2
서울특별시,은평구,2020-01-01,22,없음,65,0,0,1.2,약,east,69,ENE,4,0,0,5,3,11,0,0,0,2,0,0,0,1
서울특별시,은평구,2020-01-01,23,없음,64,0,0.4,1.3,약,east,71,ENE,2,0,0,1,7,8,0,0,0,3,0,0,0,0
서울특별시,강남구,2020-01-02,11,없음,68,0,2.9,0.3,약,east,258,WSW,0,0,0,0,0,0,0,0,0,1,0,0,0,0
서울특별시,강남구,2020-01-02,12,없음,69,0,2.8,1.2,약,east,264,W,0,0,0,0,0,0,0,0,0,2,0,0,0,0
서울특별시,강남구,2020-01-02,13,없음,71,0,2.6,1.4,약,east,254,WSW,0,0,0,0,0,0,0,0,0,2,0,0,0,0
서울특별시,강북구,2020-01-02,0,없음,68,0,1.3,0.7,약,east,137,SE,0,0,0,0,0,0,1,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-02,10,없음,70,0,1.6,1.1,약,east,329,NNW,0,0,1,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-02,11,없음,76,0,1.2,0.8,약,east,308,NW,0,1,2,0,0,0,0,0,0,0,0,0,1,0
서울특별시,강북구,2020-01-02,14,없음,81,0,0.8,0.8,약,east,284,WNW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-02,18,없음,84,0,-0.5,0.6,약,east,315,NW,0,1,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-02,21,없음,85,0,-1.8,0.7,약,east,330,NNW,0,0,0,0,0,0,1,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-02,22,없음,86,0,-1.9,1.1,약,east,6,N,2,0,0,0,0,0,1,0,0,0,0,0,0,0
서울특별시,강북구,2020-01-02,23,없음,85,0,-1.9,1.2,약,east,343,NNW,1,0,0,0,0,0,1,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-02,13,없음,74,0,2.2,1.7,약,east,282,WNW,0,0,0,0,0,0,0,0,0,0,0,0,0,1
서울특별시,강서구,2020-01-02,19,없음,85,0,-0.8,0.4,약,east,339,NNW,1,0,0,0,1,0,0,0,0,0,0,0,0,0
서울특별시,강서구,2020-01-02,22,없음,88,0,-1.2,0.4,약,east,282,WNW,0,0,0,0,1,0,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-02,0,없음,68,0,1.4,0.5,약,east,67,ENE,0,0,0,0,1,9,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-02,1,없음,65,0,2.5,0.3,약,east,126,SE,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,관악구,2020-01-02,2,없음,65,0,3.2,0.2,약,east,328,NNW,0,0,0,0,0,5,0,0,0,0,0,0,0,0
